# t (s)	mx ()	my ()	mz ()
4.4814409120254653e-10	-0.17740573	0.1449616	0.62198704
4.490446481353401e-10	-0.18280058	0.14547935	0.6192306
4.5012656872815304e-10	-0.18859252	0.14498867	0.61585367
4.5102920177501554e-10	-0.19276173	0.14365573	0.61299837
4.521136815706507e-10	-0.19687818	0.14097714	0.609546
4.530185351542426e-10	-0.19950727	0.13789174	0.6066665
4.541056544689738e-10	-0.2016435	0.13325478	0.603232
4.5501264826609143e-10	-0.20254977	0.12870415	0.60040605
4.561023340715447e-10	-0.20258158	0.122558124	0.5970812
4.570115305610444e-10	-0.2017413	0.116984904	0.5943811
4.581038613857245e-10	-0.19973184	0.10991887	0.5912416
4.590149132196166e-10	-0.19727138	0.10385298	0.58871764
4.6010892831330513e-10	-0.19345646	0.096543275	0.58580405
4.6102110062111893e-10	-0.18963458	0.09057376	0.5834707
4.621161980171975e-10	-0.18438675	0.08374649	0.58077794
4.630289611362322e-10	-0.17955835	0.07848527	0.5786157
4.6412420451874256e-10	-0.17335159	0.07286453	0.5761068
4.6503631745868963e-10	-0.16794974	0.06888394	0.5740773
